c minisat_input_format
p cnf 4500 9000
1206 2102 2770 0
-4185 2994 3956 0
-349 -115 919 0
-4364 781 2541 0
-3311 1451 1673 0
-2144 1543 1920 0
-2181 -1658 1523 0
-4412 -2962 1007 0
-3738 1840 3887 0
-946 -569 1502 0
-821 -361 2883 0
-2156 3249 3837 0
-406 -27 232 0
1117 1290 2587 0
-2242 1660 4249 0
1723 3470 3996 0
144 2280 2566 0
931 1336 4282 0
-863 678 1872 0
-2332 -2133 3636 0
-2853 -2281 -810 0
-2205 3098 3518 0
-4428 1249 1910 0
-3662 -864 -658 0
-2354 -1306 3896 0
-3789 -3002 2701 0
-3069 621 2276 0
-2846 -2476 2585 0
-3168 -457 3019 0
-3041 -938 -20 0
-2722 2487 2924 0
-3004 1692 4029 0
-3927 -2587 -1458 0
-349 952 3123 0
-3001 -992 2370 0
-3755 347 3795 0
-3637 -3365 1312 0
-3789 -212 1618 0
-3678 -1632 2082 0
-2600 -496 -124 0
-3146 -1035 1273 0
-3578 2556 3314 0
-2822 -858 1618 0
585 1430 2745 0
-3175 -2377 1484 0
339 2385 3706 0
-3445 -538 890 0
-577 2051 2891 0
-4250 -3636 604 0
-2937 -1025 2780 0
-1482 -843 2640 0
-4382 -1913 -1908 0
-3932 -932 2512 0
-4300 -2548 1851 0
-3363 -2245 1617 0
-2642 811 3926 0
-1722 -580 876 0
-3589 -1745 -352 0
-3623 -203 2708 0
-1620 3815 4475 0
-3509 1899 3460 0
-4217 -2133 2727 0
-3709 -1598 -1144 0
-4430 58 1724 0
607 1291 3370 0
-1385 -635 3395 0
-3020 -1395 -32 0
-4372 -1097 3086 0
-831 2477 4095 0
-3411 1687 2841 0
-1313 1182 2688 0
-3644 -3182 1163 0
-4206 -331 4177 0
-1216 2372 4345 0
-4415 -4238 -344 0
-3673 -1238 1472 0
-1343 2164 4242 0
-4055 -3263 -2229 0
-2161 1060 2728 0
50 1792 2391 0
-2383 -2286 1011 0
-4030 -3000 -98 0
-4298 -3583 -1704 0
-4179 -2930 -1651 0
-4161 -336 2034 0
-2183 510 1318 0
-3106 -1900 583 0
-3540 -1763 2544 0
-4329 194 3519 0
-3844 -2267 3837 0
-3952 1678 3499 0
-3857 -2128 3650 0
-4004 3399 4357 0
-924 871 2534 0
-4174 -3044 -1384 0
-1839 -459 2201 0
2372 2572 3110 0
-2213 1366 1830 0
-3330 -1736 3843 0
-2294 -1723 -1001 0
-4422 -1351 2368 0
312 1230 3330 0
-1679 -1646 3311 0
-2239 412 1113 0
-1689 -1443 -782 0
-2488 650 2624 0
-3833 1050 2639 0
466 943 2243 0
-2133 -484 2348 0
-2759 -780 3219 0
-3664 -2413 345 0
-2218 1549 4492 0
-538 -137 2078 0
1176 2491 3639 0
-3631 -3583 -3055 0
-1078 2483 2605 0
-2233 -1245 2487 0
-2409 -1130 384 0
-4434 -2065 -2015 0
-3287 3309 3472 0
-2614 -2135 1769 0
-2816 -106 3804 0
-3403 -2096 1472 0
-1887 -1184 4287 0
-3088 -112 3014 0
1920 2531 3847 0
-3010 -321 -176 0
-3980 166 783 0
-3534 1986 2201 0
-2788 195 1017 0
-2128 1178 3987 0
-2679 -2446 3352 0
-1209 -555 2274 0
-403 2054 3988 0
-1972 -66 3830 0
-3649 -2447 2703 0
-491 1775 2779 0
-606 2547 2929 0
-679 297 3929 0
-1231 695 2777 0
-3970 -3373 2752 0
-3940 -520 678 0
-4156 -433 989 0
-3422 -128 3012 0
-3567 3176 4093 0
-1454 2513 3219 0
-4344 -1537 573 0
-3038 1287 2965 0
-3216 -932 3187 0
561 1623 3986 0
-4161 2229 3965 0
-4334 -109 -67 0
1639 2953 3987 0
-267 1805 3093 0
2172 2770 4164 0
-3960 -755 3763 0
-1311 1670 1719 0
-2320 -2019 286 0
-4340 -1470 -205 0
-3839 1718 2961 0
-2745 -2522 -609 0
-4044 -832 -764 0
-739 -182 329 0
1098 2730 3508 0
-1212 -82 4257 0
-4335 448 3945 0
-3416 -3276 1139 0
1344 3644 3946 0
-1383 2172 2281 0
-833 1087 3311 0
-921 -91 4411 0
-4404 -616 3817 0
-2034 324 3002 0
-3382 412 4179 0
-2833 -324 2479 0
-3933 489 4102 0
-255 2478 3924 0
-3514 -1211 -142 0
-4100 -3992 -35 0
-4459 73 1544 0
-2833 -1125 -758 0
-1334 -210 -7 0
-4377 -363 2575 0
-3822 -345 2508 0
-1904 -17 3637 0
-3280 -3077 -2292 0
-3290 -403 3660 0
-2506 394 4464 0
-3703 -3427 376 0
-3612 -2035 477 0
-559 1521 1808 0
-1035 -704 694 0
-1044 2360 3530 0
-2112 -568 1488 0
-4089 -3002 646 0
-3562 -679 -153 0
-544 487 912 0
373 1838 3784 0
-3635 -1402 4403 0
-2669 -2296 -347 0
-2901 -1953 4498 0
-2065 2067 3790 0
-4009 -1780 2480 0
1695 2641 4048 0
-3144 156 3598 0
-4323 729 3326 0
-328 1675 1867 0
-55 1163 1298 0
-1400 -144 575 0
-2517 246 3550 0
-3134 -276 818 0
-2858 -168 525 0
-2461 425 2116 0
-4110 -491 1941 0
-4197 -1925 3620 0
-4153 -3722 469 0
-2601 2219 2709 0
-833 1593 4179 0
-2353 364 2171 0
-2903 -2587 2129 0
-4011 -2158 400 0
-4459 -2989 1097 0
-3200 -520 -164 0
687 1188 3718 0
-1628 -179 3334 0
-635 -455 1902 0
-2385 -1577 3824 0
-1000 1215 1734 0
-3551 -2596 3386 0
-1815 -365 1978 0
-279 -218 415 0
-2795 2812 3276 0
-2142 -2059 1007 0
-3635 791 3538 0
-2004 -870 -322 0
-1176 -240 606 0
-4418 -383 -196 0
-1241 1715 3036 0
-3846 -2844 4067 0
-2384 112 1762 0
-3919 1555 2966 0
-2362 -2165 4470 0
-1871 1120 4171 0
-4426 49 1208 0
416 464 3175 0
-2925 1378 2541 0
-3291 2041 3278 0
-1548 1024 1161 0
-4463 -2215 3059 0
-3351 17 653 0
-1882 1418 3747 0
-4465 203 4294 0
-3502 79 3810 0
-2831 2401 3002 0
-1752 1263 3087 0
-3060 -2564 659 0
-1981 1221 3865 0
-2170 342 1802 0
-2401 1185 1478 0
-3324 -1186 2735 0
-3805 -3781 1029 0
-2623 1368 1987 0
-4275 1805 3163 0
1562 2116 4167 0
-4257 3085 3433 0
-1627 -1624 228 0
-2219 -2214 2314 0
-2650 -762 -77 0
-1657 1561 2073 0
-3689 -3047 114 0
568 759 3979 0
-2480 3261 4000 0
808 2345 2909 0
-2935 -129 3954 0
-3480 2157 4156 0
-3315 -748 79 0
-1858 591 1912 0
6 1835 3591 0
-2246 1494 2835 0
-3156 -2398 1374 0
-1435 97 1684 0
-1385 830 4276 0
983 994 3320 0
2204 2946 3031 0
-2722 -2233 -1734 0
-2109 -1032 1978 0
-4090 1818 3011 0
-2748 754 2987 0
-4468 -210 1106 0
-1072 2534 3529 0
2292 2757 3061 0
-3231 797 3182 0
-2339 2337 4309 0
-4124 2008 4324 0
-3965 -2289 4194 0
-2495 436 611 0
-116 488 2858 0
-825 2843 3145 0
-3158 -3055 1205 0
-4135 246 4149 0
-773 -1 207 0
-4425 2646 4279 0
-3623 303 1052 0
-672 1872 4387 0
-3340 253 3495 0
-3603 -2368 -1317 0
-4368 -2439 -485 0
-3802 -156 562 0
-4242 3198 4085 0
-3624 -2465 2738 0
-1639 -1289 2347 0
1886 3380 3916 0
-2484 -1282 44 0
-4426 -4271 1205 0
1455 1660 2440 0
-3714 1088 2458 0
-3547 586 1573 0
-2099 2996 3705 0
-2019 -1611 -249 0
-3719 -413 3968 0
-1402 2525 4195 0
-2630 -1868 -1663 0
-2089 2643 3072 0
-1082 -813 -369 0
-3975 -3031 142 0
-3000 710 1022 0
-4162 -4115 -285 0
-4391 -4198 2413 0
141 564 2662 0
1175 3370 3476 0
-3528 -2194 367 0
-3145 -1771 775 0
-1750 -1216 479 0
-3327 -2122 1551 0
-1219 2133 4485 0
-2407 304 2071 0
-350 379 1076 0
-2651 -1759 2963 0
-3728 -2768 1736 0
-695 78 356 0
-4325 -2729 3132 0
-3553 -94 2580 0
-889 -877 351 0
-3211 596 749 0
-1973 -988 4077 0
-3222 196 4225 0
-636 89 4430 0
-4085 -2165 2568 0
-3945 2054 2361 0
3457 4011 4031 0
-3246 -1844 -1315 0
-2389 -643 3647 0
-2690 -322 3649 0
-2854 297 1670 0
-957 1301 2355 0
-939 -513 3891 0
-2148 -163 1546 0
-2496 -2337 -382 0
-3314 -1150 3238 0
-2832 1117 1998 0
-1405 1394 1887 0
-1541 1159 1635 0
-3018 -1193 766 0
1811 2085 4071 0
-1618 -224 3812 0
-1644 588 2480 0
-3419 -2500 -2255 0
-792 -47 2997 0
-2491 4010 4483 0
-3957 -1250 11 0
-716 2044 2769 0
-3731 -474 2190 0
-3103 2373 3836 0
-3869 -3600 228 0
-3349 -2142 -1799 0
-3876 -1369 -873 0
-2701 -368 2994 0
-4198 -2088 1374 0
-4222 -1416 3907 0
704 2934 3040 0
-3356 -2589 -1362 0
-2894 2126 4162 0
-771 -119 3649 0
-3782 -888 1997 0
-3491 -1056 -1016 0
-463 1599 1632 0
-2727 -1074 244 0
-3768 -3597 1655 0
-4110 -732 1285 0
-2752 2821 4200 0
-2531 1810 3200 0
-1778 1784 3450 0
-3997 -2859 2629 0
-1668 -862 1309 0
-3656 -2264 -1445 0
-3339 -3086 -755 0
-316 1202 4047 0
-4301 -631 3740 0
-3822 -2615 932 0
-2774 -1635 1125 0
-2403 3708 4342 0
-1563 -294 3195 0
-4319 -3454 1845 0
1079 1394 3994 0
-3130 -2340 1921 0
-1450 4167 4385 0
-746 885 3949 0
-4087 -622 2565 0
-450 1966 3741 0
-4260 -1069 2879 0
-2219 -1098 1636 0
-2857 3091 3730 0
-4474 -3638 895 0
-1753 -1684 1499 0
-1763 -1006 4097 0
-1427 1387 2778 0
-2912 -2750 1896 0
-1648 1266 4185 0
-1745 2859 3600 0
-3025 1602 3357 0
-4485 -2965 2659 0
-251 2322 3480 0
-1658 957 1623 0
388 710 2940 0
-2990 -2221 -2092 0
-1133 1017 4491 0
44 1533 2966 0
-3358 -2754 4130 0
-2418 -826 562 0
-2039 -421 164 0
-1750 2621 3444 0
-564 1878 3258 0
-1566 -33 3466 0
-4340 -1642 204 0
-4270 127 3244 0
-1032 636 4031 0
2157 2401 2656 0
-2921 712 859 0
711 1691 3365 0
-2620 -1937 -391 0
-4066 -1859 3111 0
-1618 -493 -38 0
-2638 3379 4246 0
-2323 -1121 4368 0
-3757 1214 4302 0
2293 2892 3439 0
-1612 -966 -615 0
520 704 3896 0
1573 3603 4065 0
-3908 -1536 2092 0
-952 2139 4188 0
925 1595 3121 0
-1202 -1146 3936 0
-2085 -331 1165 0
-3577 -2177 -298 0
28 1906 2807 0
-1411 1500 3443 0
-3493 -3380 -103 0
-2925 -396 3202 0
-2519 -560 2604 0
-4101 -2345 -199 0
-2809 -1158 3939 0
-4301 -3922 -1946 0
-1255 2620 4182 0
-3404 -1113 311 0
-2740 -520 -171 0
-1834 -295 886 0
-674 1851 4102 0
-2359 -911 -675 0
-3159 -2052 -2002 0
-1281 3789 4119 0
-1743 1236 2803 0
-2431 770 3029 0
-3120 -2705 -1022 0
-4381 -2028 878 0
-4402 -4317 487 0
-3862 540 4456 0
-3868 -3176 -694 0
-3650 167 3697 0
994 1706 2768 0
-2314 -2195 3798 0
-2568 -1412 3529 0
-3164 -3041 3632 0
-4326 -1812 -1226 0
-1845 -1019 1270 0
-2328 2292 3559 0
-4400 -3766 551 0
-3264 -3248 2333 0
-2002 383 2371 0
-64 2330 2998 0
-3279 2070 2156 0
-211 2560 3826 0
-3904 1249 3849 0
-570 -320 3342 0
-3022 -660 844 0
-4307 -1203 2174 0
-3379 -2978 -1405 0
2444 3452 3556 0
-2988 -1446 1159 0
-1278 -820 1950 0
-1447 3508 4426 0
-3686 -3304 4130 0
-296 1544 2517 0
-4424 931 3183 0
2008 3068 3411 0
-2292 2951 3347 0
-3510 -2898 18 0
725 1780 2607 0
-3999 -2986 1069 0
-2327 -710 2813 0
434 764 4373 0
-1109 171 1316 0
-4350 -3563 -1021 0
-2891 -618 1706 0
-4406 1975 4352 0
1233 2951 4424 0
546 2434 2751 0
-2626 -2589 4023 0
-1880 -1490 -1072 0
-3059 -1776 3439 0
-3920 -2403 -488 0
-2990 -673 4492 0
-4040 2251 2625 0
-147 2058 3192 0
-3946 182 566 0
-569 2383 4174 0
-2736 603 3820 0
-2810 -951 1413 0
-1916 -1703 -82 0
1317 2477 3330 0
-2215 -1646 -494 0
-1863 1944 4088 0
-4132 -2110 733 0
-2698 -2678 2299 0
-3948 -1607 3889 0
-3402 304 814 0
-3626 3931 4147 0
-1357 3089 4295 0
-4024 -983 1452 0
-2294 986 1457 0
-4134 -1447 -987 0
-4090 925 1597 0
-2358 -1713 -571 0
-2893 -1809 4173 0
-2246 -840 2677 0
-4053 -688 1008 0
3867 3912 4236 0
-4229 -1058 1280 0
-1624 2769 2919 0
-2540 -213 3779 0
-264 1611 3992 0
-1459 -638 3575 0
-2228 -1424 3836 0
1991 2622 3107 0
-683 -142 2714 0
-4151 -1065 2701 0
-1229 435 3207 0
-4490 -400 309 0
-386 2830 2840 0
-3443 -2497 -1213 0
-2378 -1615 -690 0
-1607 -684 3051 0
-4200 -1092 2967 0
-3212 -535 3591 0
-2812 -771 -205 0
2852 4211 4432 0
-2147 4152 4461 0
-1663 597 3678 0
-4408 -239 3585 0
-1440 -865 3905 0
1366 1744 3775 0
-3796 -1139 1404 0
-3107 -492 1635 0
-4024 1172 3016 0
-3557 -2917 -205 0
-2990 2659 3655 0
-1209 -887 -564 0
-3644 3797 3900 0
468 530 4319 0
486 1563 3813 0
-404 -73 2684 0
-3696 1596 4010 0
-474 -444 1138 0
-2916 -2646 3587 0
-3750 355 2735 0
-3758 1839 4466 0
-3569 -2302 917 0
-4213 -706 1563 0
-4146 3196 3873 0
217 587 1333 0
-3057 -2159 544 0
-2632 -2443 1624 0
-3944 -1308 818 0
-4013 -3289 -1168 0
-1120 1697 2926 0
-4291 -4204 -1587 0
803 2122 3966 0
-4132 -275 822 0
-4331 518 1868 0
-1940 715 3094 0
-1466 123 905 0
-1001 273 3253 0
-176 -118 2628 0
-3325 -3057 4032 0
-603 -123 131 0
-2032 -946 2074 0
170 3175 3749 0
-4094 673 1529 0
1704 2644 3248 0
1470 1729 4427 0
468 2384 3501 0
-1263 3019 4500 0
-1743 -1580 1421 0
-3274 -3066 -1256 0
-2574 -2490 3557 0
-4337 -2268 790 0
390 652 2413 0
-721 991 3362 0
-1687 115 3545 0
1320 1516 4203 0
-1730 1421 2065 0
-4232 -3898 3164 0
-2900 1112 1202 0
-4260 -2684 3014 0
-1916 2779 3061 0
2131 2865 3472 0
1455 3110 4171 0
-2509 -1435 3348 0
-2864 -709 1868 0
-2277 -1538 740 0
-3244 -662 245 0
2168 4129 4371 0
-3610 135 3656 0
-1133 981 1091 0
199 848 3346 0
1205 2441 3849 0
-3623 -1760 -387 0
-506 -385 1478 0
-2034 1629 1721 0
-3867 -1037 3632 0
-2088 -1311 2784 0
-1321 -30 4097 0
-1755 -530 136 0
-953 685 1548 0
-2938 -416 2657 0
-1219 3036 3038 0
-3551 1671 3272 0
-3920 -2519 2713 0
-560 2949 4302 0
-677 2447 3980 0
-2775 -2368 -2349 0
-3108 -2778 3522 0
41 1941 3722 0
-2995 -2122 -1258 0
-545 -542 1187 0
-1026 2215 2562 0
-2175 1675 2591 0
-3822 -3792 -2540 0
-4360 -1982 440 0
-4384 -1069 -314 0
-2164 198 4317 0
-3786 -1546 -1149 0
-2346 -559 930 0
-3630 1407 4309 0
1895 2196 3053 0
-3762 -3 1335 0
-3954 -1301 4417 0
-2707 -1324 2687 0
-1173 -348 345 0
-1070 2045 3922 0
-3913 166 4358 0
-3887 161 529 0
123 1946 2310 0
-3422 -3091 3969 0
-3163 -1315 2419 0
-629 6 3456 0
1918 2999 4360 0
-4373 -3328 2369 0
-503 918 1226 0
-4037 -2476 -1179 0
-2549 -2513 -440 0
-251 1456 3705 0
-3602 330 4423 0
-2410 2116 3764 0
-2416 -772 1853 0
-3413 -1382 3759 0
-2813 229 532 0
-2424 -675 112 0
-1690 -1108 1800 0
-1872 829 2385 0
2648 2919 3490 0
-582 1268 3464 0
-3349 -1586 2438 0
-4347 1096 1166 0
115 1289 2272 0
-1809 3 2598 0
-3922 -3689 -3478 0
-4471 -4451 -293 0
-3920 931 2689 0
-4440 1807 4077 0
1313 2297 2529 0
-1854 2371 3652 0
-4481 -2256 -1165 0
-2734 -1425 -627 0
-4392 -502 1203 0
-3999 -1796 -431 0
-3439 -1186 3940 0
-1880 -1414 -1288 0
-1613 -1047 4381 0
-3070 332 688 0
-3271 2088 3488 0
-4076 -626 3133 0
1799 1963 4344 0
-4177 -400 1717 0
-4462 -3617 -546 0
-4253 -567 2368 0
-2572 327 4267 0
-3463 -3414 3119 0
-1885 -763 135 0
-2701 -1595 -1186 0
-4421 407 1375 0
-2551 -499 -468 0
-1463 1271 4283 0
-3393 -2866 -254 0
202 1307 3033 0
-4374 -2268 2271 0
-57 1692 2476 0
-1472 -512 2151 0
-236 752 1894 0
-3019 -1953 1416 0
-2014 -1134 2203 0
-996 1346 2293 0
-2008 -1435 1468 0
-2759 -2415 -1661 0
-1826 743 4169 0
-3691 416 2337 0
-4062 -3422 497 0
-932 -59 1951 0
-2665 -1676 4007 0
458 703 2654 0
-334 2311 3073 0
-1112 4019 4466 0
-4425 -70 4151 0
-2405 -1707 3628 0
-4461 -3188 2602 0
-1170 896 1396 0
-2467 -391 1780 0
752 1642 2093 0
-1320 1886 2012 0
-3720 1524 3795 0
236 2972 3358 0
-1046 876 1847 0
-2013 -70 3394 0
-698 -119 616 0
-1540 1459 3064 0
-3628 -1924 2717 0
-753 -580 339 0
-4305 -4106 -1670 0
-3915 4036 4206 0
-2015 1282 2909 0
-2288 -1303 577 0
-3653 -448 1110 0
-4350 -2755 1677 0
2324 2565 2684 0
-2793 389 4237 0
-3556 513 4062 0
-3983 -3031 3710 0
-1537 -1314 866 0
-332 1232 2239 0
-3341 3223 4494 0
-2599 -2023 3789 0
-388 2089 3142 0
-3906 1732 3305 0
-3127 -337 1467 0
723 2351 3608 0
-1726 -1615 3200 0
-4283 -2236 947 0
-4032 -3957 3355 0
-229 3144 4260 0
-1902 -1880 3243 0
-4422 -1427 -1110 0
-2542 -845 3674 0
-1842 3754 4329 0
-1781 -1739 -1276 0
-1702 -954 1563 0
-3516 -2206 3763 0
-1834 -971 783 0
-3483 -871 1468 0
-4144 -2124 2822 0
-1901 -957 -481 0
-3330 964 2939 0
-3592 617 630 0
-322 -77 3324 0
-993 378 503 0
-2420 347 560 0
-3345 2055 4365 0
-2455 -2253 168 0
-4092 -1838 1545 0
-4339 -1217 1881 0
-3160 -307 647 0
-4298 -2378 3219 0
-2730 2058 4115 0
1217 1456 3059 0
-3557 -2822 4135 0
723 776 1012 0
-1642 -253 1889 0
-4390 -2636 3644 0
-4340 -3434 781 0
-3197 1161 3082 0
-3729 -2458 3115 0
-3292 -2409 -1143 0
-3238 -160 3339 0
-3286 2819 4018 0
-4008 761 3654 0
-3696 -1903 -1722 0
-118 2792 3571 0
-4233 -2005 -1140 0
-3329 2847 3754 0
-777 2747 2962 0
-2794 -2383 3339 0
346 595 1087 0
-1963 437 3544 0
-3150 -2233 -9 0
776 1837 2310 0
-2828 -2717 554 0
-1708 2348 2568 0
-585 2777 3921 0
-4028 -3854 -1642 0
-1893 -1525 3555 0
-3271 -1046 542 0
-3632 -2131 3247 0
-3974 -223 1556 0
627 1176 1723 0
3296 3985 4074 0
-276 2515 4276 0
-4188 -1131 -303 0
-3276 -1118 -572 0
-4304 -2740 2481 0
-1182 -1058 3578 0
-2716 549 4464 0
-3670 2397 4427 0
-2915 -1497 -339 0
-2975 465 1718 0
1172 3849 4006 0
-3232 -598 -240 0
1625 3393 3838 0
947 1340 1858 0
-3454 912 1586 0
-2346 -1328 -301 0
-2742 -753 1190 0
593 1496 2936 0
-3042 346 665 0
-1673 -519 2475 0
-2472 -1078 248 0
-1270 884 2330 0
-3525 -3439 3114 0
936 1944 2266 0
-2079 1208 3174 0
646 2922 3993 0
-3347 440 3208 0
2297 4120 4456 0
-4407 -2293 2915 0
-2493 -259 3359 0
-4495 -4155 161 0
-42 385 3034 0
-1982 -1977 2484 0
972 1770 2541 0
-3654 -214 3295 0
-1820 -1301 571 0
-1963 -283 381 0
-4382 592 1482 0
2005 2021 3641 0
-2556 -868 4212 0
-4204 -3556 -3541 0
-2895 1274 4030 0
-3265 -2578 -2176 0
-4005 -3672 -2161 0
-1703 951 1125 0
-2863 -597 3240 0
-4254 -3843 -2115 0
-3737 -369 2290 0
-4061 -2154 2369 0
552 1685 3755 0
-3885 -2647 3654 0
1240 2882 3795 0
-1985 569 4080 0
-1604 2837 4456 0
497 1026 1853 0
-2321 -2109 2074 0
-4337 -1770 -1436 0
61 845 3592 0
-3668 3136 3155 0
-3533 -2255 2655 0
-986 3046 3861 0
-1074 -72 3129 0
-2606 -1691 -839 0
