c minisat_input_format
p cnf 4500 8000
-3929 -2351 297 0
-3760 833 1179 0
1862 3108 3371 0
-385 412 2826 0
-1356 -48 943 0
-3060 -726 1603 0
-2997 -438 554 0
-2352 -140 3402 0
-1855 -1595 2734 0
-3416 -3126 -1487 0
-2445 335 3648 0
-4180 -1807 398 0
2657 3045 3205 0
-2409 -75 480 0
-1767 1301 1791 0
-3211 -3155 244 0
-4249 -2739 -1669 0
-2127 1374 3379 0
520 3118 4486 0
213 466 3642 0
-1105 3043 3974 0
-4438 2100 2425 0
-3487 -803 4032 0
1926 2278 2376 0
-3816 -2505 2908 0
-3414 -1304 1465 0
-697 1174 4262 0
-4009 -2005 1239 0
319 827 1140 0
-1952 832 3317 0
-3564 -1592 -476 0
-1470 1499 3910 0
-2931 -2173 4281 0
1262 1733 3843 0
-134 3115 3788 0
-1974 -1825 4454 0
-2355 -445 2852 0
-4430 -2953 3460 0
-3124 -2450 1176 0
-346 2423 4102 0
-3562 980 4478 0
-2895 1655 2519 0
-3890 -1299 164 0
-2599 -1519 1539 0
-3386 283 1965 0
-3545 -1928 3621 0
-2435 -1643 -1283 0
-4027 -3308 -1369 0
-2709 2005 2582 0
-3626 -1475 1776 0
-3770 554 4027 0
-3719 130 1695 0
-2325 3632 3842 0
-2246 -1004 2430 0
-4148 -3688 1853 0
-2630 -2351 353 0
-1446 -53 3777 0
1138 1635 4059 0
232 1946 3059 0
-4363 -3735 4114 0
-2860 -2501 -2194 0
-3665 -1402 -1153 0
-3193 -1755 2621 0
-1861 -375 2307 0
-4260 -994 -179 0
-792 2468 3790 0
-4347 -259 3500 0
-1546 -1424 8 0
-2881 -2509 3090 0
1610 2452 3565 0
-3550 -1198 2759 0
-2569 -966 4179 0
-2415 -1696 -748 0
1091 3333 3531 0
1889 2320 4127 0
-4020 -2482 -675 0
-3186 -2359 3893 0
711 721 2114 0
-4390 -233 3822 0
-1862 938 2032 0
215 1503 3980 0
-3646 -2876 -1445 0
-560 84 1632 0
-166 2819 3637 0
-1514 -639 3929 0
-875 491 2346 0
2497 3107 3829 0
-2278 -196 234 0
744 752 1234 0
-1334 3327 4290 0
-197 2021 3559 0
-3658 -2796 2263 0
-38 1095 3052 0
-3036 699 2814 0
655 3721 4272 0
-3799 -1505 742 0
538 1110 3248 0
-4283 3068 3974 0
-546 1181 2957 0
-3528 960 3933 0
-370 1264 2649 0
-406 2010 4035 0
-1683 243 325 0
-3296 1478 1941 0
-2315 4024 4154 0
1473 2231 2507 0
-1803 -680 3893 0
-749 1071 3614 0
1225 4022 4218 0
-3778 -2858 2731 0
-1821 -1195 3455 0
-4151 306 2935 0
-1520 -1179 2945 0
-2524 1175 2591 0
-1460 9 1483 0
-1090 3831 4127 0
-2105 -1060 -791 0
-408 1281 2092 0
-2725 -2599 -1441 0
-2356 308 4317 0
-1524 -471 4364 0
1944 2369 3755 0
-3425 2573 3655 0
-2513 -455 1599 0
52 1056 1162 0
-689 -318 1392 0
-2704 -1944 -1679 0
-2177 -1938 -1687 0
-3436 -3388 -368 0
-3306 -1140 4458 0
-4242 3675 3774 0
-3887 2238 3423 0
-310 -153 2791 0
-1194 -638 -239 0
-205 1588 2425 0
-2687 -1114 182 0
-3586 3476 4048 0
1928 2989 3877 0
-4107 -458 2444 0
-1080 -989 724 0
-4172 -3818 3525 0
-1678 -1058 3715 0
-1671 2226 3728 0
-3419 -2358 3749 0
-3849 2212 3559 0
-2389 -147 3250 0
608 1754 2592 0
-3056 -2717 1572 0
-3587 -2553 2593 0
-1767 299 3393 0
3153 3459 3688 0
-1636 -1285 2104 0
-538 -344 460 0
-2904 -105 335 0
-2560 -1158 4051 0
-4159 -341 1339 0
-4427 -3173 -2623 0
-502 229 4162 0
-3169 -2071 3199 0
-1818 -238 1658 0
-4393 -2324 294 0
14 2493 2573 0
-900 2626 3065 0
-3642 -3638 2949 0
-738 1004 3672 0
-1648 1640 2906 0
-532 -284 2534 0
185 469 1581 0
-1454 186 2046 0
3091 3445 3916 0
-3786 -3085 -1980 0
-3057 1884 2867 0
-3619 2600 2953 0
-2878 1215 3168 0
-710 508 1668 0
-3881 -3767 4157 0
-1562 1341 3191 0
-4270 1769 2719 0
-4167 -3922 2521 0
-2718 -305 2538 0
-2998 -2357 3797 0
-3885 -519 1203 0
-2788 2716 2896 0
-3231 2879 4240 0
-3893 -1034 1892 0
-3791 -3509 3285 0
-237 -108 1095 0
-2908 1274 3654 0
-4210 -2600 1051 0
-3645 -3454 187 0
-3103 -2092 2362 0
-692 1552 3890 0
-622 61 3890 0
-4360 -2206 1101 0
-3332 -1239 4383 0
780 1551 3648 0
-1928 -56 3011 0
-3906 -968 449 0
-1163 749 1982 0
-1726 -114 2269 0
-1694 -265 536 0
635 2024 3594 0
-2302 375 503 0
-3329 -1630 2931 0
1570 4017 4358 0
-1843 -293 2395 0
-3565 67 277 0
-1396 1663 3027 0
-3717 1607 1964 0
-3295 1100 3461 0
-4041 -696 3554 0
-2682 -1490 -648 0
-3817 -3753 -2572 0
-4252 188 3810 0
-2205 2444 3392 0
-3080 -2374 1387 0
-3148 4417 4428 0
-2271 42 1596 0
-4487 -3094 -2031 0
-4359 -3962 1758 0
-1435 -1217 1565 0
-1544 -669 2990 0
38 3081 4412 0
-2736 1192 2499 0
-3908 -1481 -1077 0
-2944 -1149 1917 0
-3014 86 2390 0
-1511 10 446 0
-2086 -1745 3583 0
-693 441 1809 0
-2957 -2261 2969 0
-3971 3728 4148 0
-3363 2308 3007 0
-3962 -1339 2057 0
-3940 800 3965 0
-4483 -2781 1501 0
-2627 -1167 4244 0
-3121 -1668 -1632 0
-1317 -94 3553 0
-3278 2389 3651 0
-4271 -488 3643 0
-3239 -2212 2699 0
-1998 1580 1821 0
-2424 1137 3845 0
-3920 -2502 545 0
-3544 -1769 4427 0
-4399 -440 857 0
-4216 -1400 1474 0
-2893 -2561 -1068 0
494 2129 3048 0
-3206 -3184 -2818 0
-1904 -1278 4001 0
-1672 2454 2538 0
-3128 338 3382 0
-4215 -3983 3840 0
1211 2358 2439 0
-1348 2247 4410 0
-3972 -3819 -2506 0
-4053 878 2849 0
114 1017 2966 0
-2839 1497 4175 0
-1764 -1577 3247 0
-4454 -4177 -201 0
-1847 -1329 1662 0
-1946 454 2394 0
-3453 1422 3946 0
-1214 -510 546 0
-2998 -2288 2650 0
-2773 1310 3372 0
-2037 207 3642 0
-4467 2308 2600 0
-3023 -1570 -646 0
-2468 970 3777 0
-491 621 899 0
-766 570 2517 0
-4227 -3811 307 0
-4067 -1492 2823 0
-14 171 1678 0
2378 3732 4302 0
-1839 1596 1897 0
-3109 1463 1474 0
1666 3251 3722 0
-1520 3024 4245 0
-2913 -2257 3215 0
-3525 -1248 1337 0
2022 3471 3856 0
671 1703 3823 0
-503 3438 4351 0
-3760 -2359 9 0
343 2882 4413 0
-2856 143 3814 0
767 1468 3466 0
-1520 2861 3342 0
-3669 -310 2681 0
-1397 143 393 0
611 1268 3707 0
-2906 -1376 648 0
1742 1961 4182 0
-4087 -1855 3182 0
-3899 305 1904 0
-555 578 2256 0
-2447 -269 2323 0
728 2269 3182 0
-2788 -1160 3978 0
-1626 -1250 1285 0
-1308 -1171 2641 0
-229 32 1068 0
-2971 2635 4152 0
-4118 -240 4296 0
-2916 628 2879 0
-2179 -431 2135 0
181 3024 3242 0
-4490 -1011 2344 0
-1973 -1821 2115 0
-1003 -713 1403 0
-4331 -3980 -603 0
-184 27 183 0
-4339 -3674 -1359 0
-2710 1450 2465 0
-3962 3710 4353 0
-101 543 2483 0
-3747 3517 3648 0
-2987 1625 2254 0
1176 2435 3596 0
-4395 -1497 2030 0
203 284 616 0
-3258 1475 1803 0
2961 3823 4317 0
-3612 -2554 136 0
736 1903 2337 0
-3606 432 599 0
-3631 -2178 -975 0
-1140 3567 4461 0
-3694 2746 3957 0
-1470 3759 3818 0
-1303 3179 4123 0
-3798 1231 3754 0
-828 844 1303 0
12 4079 4338 0
-3948 -2170 -1139 0
-127 2370 4263 0
-3942 -2744 4145 0
-474 2374 3908 0
-3324 419 3099 0
-4137 1020 2475 0
-3764 2138 3221 0
-3902 -756 1916 0
-2175 -1817 2522 0
-4234 -875 374 0
2290 2608 3342 0
-1519 -220 2623 0
-287 3924 4370 0
-944 1738 4176 0
306 420 3389 0
-1858 220 1916 0
-2558 -456 1586 0
-472 681 3654 0
-3872 -2362 1876 0
-1513 -1420 3196 0
-4025 186 3019 0
-3546 -156 4051 0
-3798 -2506 3031 0
1573 2735 3276 0
-677 1391 3857 0
-2860 476 2295 0
-1058 1910 2415 0
-2495 1693 3603 0
-1353 -1064 4216 0
-40 885 1852 0
-4004 -1079 1652 0
1437 2567 3316 0
956 4086 4459 0
-3340 -1332 -26 0
7 1880 1966 0
-505 4048 4213 0
-2771 -965 1360 0
-1352 581 2646 0
1546 3503 3635 0
-3427 -3104 -2628 0
-2486 2226 2603 0
-1591 -1265 1533 0
-3906 -96 3718 0
2178 2729 2921 0
-4302 -3469 -3088 0
-3291 -2038 -365 0
-4461 -2977 359 0
-2378 631 1398 0
-4188 -2144 2824 0
-3764 277 2220 0
190 1558 3287 0
-1788 -1673 3334 0
-675 821 1215 0
-2495 2730 4038 0
-3203 1247 1572 0
-1378 -1177 1567 0
-1924 41 1223 0
-1285 374 2327 0
-1409 1963 3718 0
-3808 -2667 4009 0
-1534 108 335 0
-2824 1091 3143 0
-1104 -697 3556 0
-3818 -1796 2411 0
-330 105 2594 0
460 1740 2855 0
-2903 -1279 61 0
-175 3845 4330 0
347 1255 2564 0
-3441 -2983 1363 0
-2821 -1449 2748 0
-4352 -2380 3912 0
-1171 1206 4270 0
-34 1111 2117 0
-552 4097 4298 0
-168 95 910 0
-3923 1617 1999 0
-3721 -2806 4036 0
-3830 1880 3796 0
-2176 586 615 0
-4111 567 4008 0
-346 3319 4161 0
-168 3259 4472 0
-1987 -289 3444 0
-3926 -2989 3272 0
-4353 -711 3670 0
-4268 -2966 -2924 0
-4458 3227 4259 0
-800 453 2105 0
-613 54 4490 0
-130 201 1732 0
-362 1509 1689 0
600 2910 3653 0
-1675 -1049 94 0
-2601 1407 1673 0
-1461 -938 1594 0
-4362 -521 3980 0
-3464 -2740 -1774 0
-3597 -548 1634 0
-3656 -2131 576 0
-4443 -1332 1098 0
865 1866 2113 0
-4203 -217 1683 0
1688 2381 3565 0
-2040 446 1801 0
-3339 -3271 200 0
-3876 -338 733 0
-2085 -1766 -796 0
-425 324 474 0
1977 3174 4096 0
-1019 2782 3682 0
-4010 2824 3082 0
-3999 1 3538 0
-2168 1136 3718 0
1076 1915 4128 0
-3821 -1332 3118 0
-3989 369 4082 0
-4468 -3242 -2113 0
-3290 -872 2342 0
-1901 1093 1256 0
-69 1654 3217 0
-3489 183 350 0
1467 1770 3291 0
-2312 -627 735 0
2223 2466 4278 0
-4495 -2311 3385 0
-1558 1015 3190 0
-2659 1035 3376 0
-3858 -2801 2051 0
-3128 -965 1185 0
-3565 -206 3360 0
-4021 -3520 -2357 0
-3825 -1936 4347 0
-2340 1704 4451 0
-4500 -2339 1708 0
-2318 747 3198 0
629 2737 2780 0
-3931 -1768 857 0
-3597 -3228 -1806 0
951 1613 2886 0
-4124 699 3380 0
-3349 3212 4128 0
-1967 -254 2180 0
-3457 2520 2876 0
-3353 -2454 3121 0
-2364 4144 4270 0
-3059 -1354 3054 0
-3476 -2872 -2820 0
-3455 -2886 1807 0
-4298 1100 1346 0
-3591 -1871 3551 0
-2926 -117 4254 0
-2295 -669 336 0
-178 770 1249 0
-1298 -838 3250 0
315 373 715 0
-1797 -1476 836 0
1185 2041 4348 0
-3770 803 4247 0
-2734 1383 2099 0
-4419 1265 3127 0
-3649 -201 4119 0
-2617 -2052 -703 0
-4326 -4103 -86 0
-3157 2773 3003 0
-2651 2017 2372 0
1182 2598 3703 0
-2603 1043 1565 0
-3642 -22 4446 0
-3709 -2398 -1384 0
-2842 622 3952 0
-3970 -2167 4131 0
-4428 -2498 4419 0
-141 347 2552 0
-3772 -884 4378 0
-2524 2044 4146 0
-2220 2748 4026 0
-4072 832 1105 0
-2944 -2547 1112 0
-3095 1883 2677 0
-370 1706 4414 0
-3687 -3411 -1135 0
-1752 -1124 3793 0
-2572 664 3991 0
-4102 241 2235 0
-3042 -1313 1434 0
-864 -307 3205 0
1753 2395 2725 0
4112 4234 4241 0
-1703 -787 2588 0
-1848 -155 1116 0
-709 2072 4336 0
-4175 512 4221 0
-4126 -1103 1935 0
-335 1957 3628 0
2190 2490 2783 0
-4266 -1199 -1194 0
-1998 551 3796 0
-444 3247 4310 0
-3280 -3027 3070 0
-1124 -408 -381 0
-2595 -1470 2962 0
438 3302 4340 0
-3560 -1811 4497 0
2971 3707 4384 0
-3916 -695 3804 0
-2711 -2184 -1817 0
-3456 1570 2797 0
-3438 -425 437 0
-4000 403 1540 0
583 2720 3107 0
151 3240 4059 0
-3312 -1292 968 0
-1690 -977 2434 0
-4052 17 2781 0
1875 3991 4351 0
-1091 -480 2309 0
1919 2174 2395 0
-4081 -3492 3896 0
-1016 4256 4401 0
-2945 675 2762 0
-2860 2695 3001 0
-4128 969 3635 0
-3793 1034 3294 0
-2308 -378 3520 0
-846 2636 3292 0
-4442 -1365 578 0
-4227 288 1298 0
-3713 -364 358 0
-1175 1618 2400 0
-3624 96 2939 0
-3505 -1499 2386 0
-2804 823 3197 0
-4330 -911 699 0
-3901 -1691 -1277 0
-3642 199 1264 0
-1231 3105 4196 0
-3524 2282 2852 0
-4325 -716 301 0
-216 202 519 0
55 3003 4076 0
1579 1982 4165 0
-3967 -1498 400 0
-1535 163 3841 0
-835 2083 3229 0
-3363 -674 3479 0
-2301 2328 3014 0
149 2875 3561 0
-2337 1914 2443 0
-3412 -2738 3877 0
-466 1272 3796 0
-1437 378 3112 0
-3782 -384 2378 0
484 2633 3404 0
-3372 -2024 2689 0
1739 2397 3417 0
-4062 -2847 355 0
-3065 -2942 -474 0
626 1474 2475 0
-3689 -3425 2237 0
1682 2477 2517 0
-1918 -992 157 0
-3849 -3021 129 0
-980 2393 4302 0
-3954 -3089 1361 0
-3309 -3091 -644 0
-1087 -360 -90 0
-1775 -773 2771 0
-3980 -1072 -1071 0
-3718 -1855 3427 0
-368 1211 4165 0
-3792 -630 116 0
-4187 -4134 700 0
-1598 961 3975 0
-1928 -718 3951 0
-2177 -1377 1520 0
-3219 -812 2346 0
-3789 2528 2850 0
-3441 944 1042 0
-2936 474 4240 0
-1944 -821 -134 0
-4182 -2649 661 0
1476 2905 4417 0
-4078 -2584 256 0
190 370 3599 0
-3541 -3090 578 0
-2630 1802 2972 0
-3959 -3003 4498 0
2888 4071 4418 0
1516 2389 3105 0
-4358 -3917 -1053 0
-4188 -3322 3648 0
3190 3645 4265 0
-1958 -1381 3756 0
-3947 -2572 3268 0
-2801 2260 2281 0
-2520 2773 3412 0
-4412 -3748 2515 0
-3313 -331 788 0
-2771 -2326 -1271 0
-1873 1026 2625 0
-3129 -604 714 0
-246 390 3765 0
-3829 -1785 2447 0
-1312 -633 1731 0
-4461 -2463 4298 0
-546 1765 4140 0
-3427 -647 2209 0
-4143 501 3439 0
-1679 -1448 4497 0
-684 -390 469 0
-2410 378 1063 0
-358 2859 3910 0
-2054 2065 2284 0
-3631 -163 4328 0
-4430 -3891 2574 0
-2385 737 2678 0
-4338 -571 3124 0
-4202 -3991 -2148 0
-680 743 4299 0
-1182 147 2446 0
-2753 -2418 1195 0
-1866 -1610 -1275 0
569 681 2286 0
-4092 -3259 745 0
-3927 -2634 925 0
379 3228 3722 0
-3774 -3171 -1117 0
-4041 -882 1934 0
-2057 -1576 4500 0
-3892 12 1152 0
-4418 -115 679 0
-3953 1648 3286 0
-4146 -828 2895 0
-2724 -242 2797 0
-3082 38 1252 0
-3401 -1172 515 0
-1880 222 1171 0
-3807 -3072 2403 0
-3495 1063 3741 0
-1646 2336 3337 0
-2788 -182 2994 0
1454 2107 4062 0
-4071 -2749 -1274 0
-1694 -938 1056 0
1198 3432 3903 0
-3217 1696 1835 0
-1694 -585 3029 0
-2299 -1750 -1613 0
-3120 -602 3708 0
-534 1348 2593 0
-3973 1672 2363 0
-3280 258 769 0
-2664 1598 2256 0
-3951 -146 60 0
-3408 -866 3858 0
-3097 1391 3075 0
-4031 1433 2714 0
-2922 -1232 346 0
-730 1769 3338 0
-2341 -1918 3424 0
-3814 1415 2681 0
-1211 3204 3932 0
-449 -432 193 0
-2956 -2209 4376 0
-301 575 3021 0
-3168 -3127 2243 0
694 948 2257 0
-1828 -1560 2994 0
-4081 2209 3325 0
-1735 -49 1359 0
-4238 -3962 4061 0
156 1966 3262 0
-704 1226 2324 0
2347 4011 4234 0
-397 689 1839 0
-4042 1222 3180 0
-1471 -571 182 0
-3526 -2061 3242 0
-2391 -117 1742 0
-2094 1530 1626 0
-4181 -1559 -1299 0
-849 1593 2853 0
-4451 -132 1046 0
373 834 4388 0
-2880 -1871 4023 0
-1637 1050 2794 0
-3984 -134 3257 0
-209 661 2580 0
-4205 3436 3530 0
-2583 -2293 -459 0
-3622 -2253 121 0
-4400 3146 3394 0
-15 2645 4294 0
-4172 -3309 4414 0
-4071 -3015 285 0
-1735 868 3786 0
-2371 -1313 -27 0
-3493 -739 2278 0
-4295 -2808 -2562 0
-3775 -648 283 0
-929 974 3104 0
-3364 -3185 -2497 0
-2947 572 3023 0
-1253 2676 4151 0
-2569 -835 3452 0
-1262 2401 2590 0
-3208 -769 -420 0
246 889 2423 0
1105 3171 3361 0
-1232 864 3634 0
-3986 -515 2161 0
-2947 -366 2389 0
-826 -222 1128 0
-1922 852 2460 0
-4483 -703 381 0
1055 3117 3553 0
1654 3984 4049 0
-2722 2014 3901 0
-405 -66 3655 0
664 2124 2875 0
-4143 1350 4096 0
-4294 -539 -494 0
1985 2021 3537 0
-3389 -2156 2400 0
257 3535 3932 0
-2156 2638 3082 0
2621 2910 3432 0
-3582 -448 1311 0
-2178 -367 2427 0
-223 2812 3687 0
-3019 -262 1030 0
-4200 344 4454 0
-3169 2026 3603 0
-3422 -683 1833 0
-2995 3049 3700 0
-1924 231 2461 0
307 677 3993 0
-1906 -1411 -341 0
-2400 -1823 1512 0
-3004 -2528 -1965 0
-637 658 4345 0
-3904 -2719 2672 0
-3149 -1900 856 0
-903 1389 3440 0
-3636 -1903 181 0
-3240 558 3114 0
-3093 1675 2640 0
-3486 -3254 -1398 0
-4463 -4358 3525 0
-2855 -1180 2979 0
-3715 -992 3343 0
2044 2379 3889 0
-1660 -436 -25 0
1171 1635 4228 0
-2982 -433 1068 0
-1221 1464 1566 0
1093 2920 3140 0
-2129 -1615 2189 0
-1480 -1346 1583 0
-2444 -2132 -1483 0
-2776 -1483 1321 0
114 2139 2942 0
-1527 -1191 1989 0
-2057 -136 734 0
-1149 1160 4397 0
-4037 2668 3703 0
-3928 -1680 -426 0
-4078 -4051 2186 0
183 1265 1729 0
1546 2637 4028 0
-388 582 3143 0
1084 3589 4398 0
-3351 -3039 -923 0
-1383 -1292 2623 0
-1929 3124 3259 0
583 1377 3090 0
-4213 1179 2066 0
-1190 2321 4114 0
-1969 1794 2201 0
-3667 -3096 -539 0
-3146 -2703 2171 0
559 1147 2660 0
-1889 3562 3589 0
-3522 -2591 -1323 0
-329 2264 4146 0
-2628 -703 674 0
-3829 -3252 3815 0
-2890 1278 2577 0
897 1152 2800 0
-1397 3750 4302 0
-1574 -524 2387 0
-2610 -2365 3780 0
-3568 1702 1898 0
-159 573 3851 0
-4313 2329 2500 0
-3720 -3291 3142 0
278 2256 3395 0
-2724 1149 1586 0
-2415 2216 3119 0
1000 1668 3054 0
-3677 -2917 3131 0
-3920 2013 4127 0
-3664 1741 4183 0
-4029 1017 3786 0
-2552 -1505 -585 0
-2282 -183 4037 0
-2936 -2529 3843 0
-3217 -2721 -91 0
1311 2652 3511 0
-3914 -3512 369 0
2388 3218 3375 0
-2952 -1472 1806 0
-1435 -11 2733 0
-1135 -83 2853 0
-564 495 1960 0
436 659 1139 0
-4398 -3469 1434 0
-1978 -656 4025 0
-2956 -1633 2616 0
-3324 565 2121 0
-1025 -331 471 0
-4473 -2008 1952 0
-245 1006 3673 0
969 1433 2498 0
-3736 -749 2019 0
-1178 2608 4477 0
-4281 -3619 3041 0
-2701 1124 3819 0
-939 756 4406 0
-3212 -1552 3569 0
-3384 842 1370 0
-972 2103 4061 0
-2519 -659 1536 0
-4337 382 1762 0
-4286 -3395 2878 0
-3066 1817 3231 0
-3404 -1541 636 0
-2682 3326 3442 0
-3337 -1597 -1370 0
739 1545 4237 0
1831 1896 2833 0
-4104 575 3686 0
-3354 3157 3862 0
-3785 -846 1447 0
-4262 -2394 3613 0
-3886 -2500 4117 0
-2913 1709 2873 0
-2598 -4 3530 0
-4104 131 2655 0
-1820 -521 3534 0
-3307 1937 2183 0
-4014 641 2134 0
-3862 441 3596 0
-4448 1868 3911 0
-2585 -2579 3327 0
-3671 -465 2831 0
542 583 2406 0
-3815 -1521 -933 0
-3090 -2020 -734 0
-3100 -1535 3856 0
-3799 -3206 2993 0
-3264 -96 3384 0
-240 1823 4113 0
-3489 -455 2969 0
2050 3221 3311 0
-4012 -3316 -1541 0
-2464 -1683 819 0
-4154 -1774 -235 0
1685 1935 4390 0
-4362 -835 -518 0
-2632 -1998 666 0
-2266 1168 3406 0
-1715 2911 3955 0
-2370 -1774 2317 0
-1243 423 1814 0
444 3107 3701 0
-1346 1518 1827 0
-3427 -302 1886 0
-4353 -4053 1552 0
-1385 1023 2295 0
-3818 2012 2080 0
-1369 -938 -543 0
-3959 -1721 -706 0
3593 4062 4413 0
-3823 -3476 1465 0
-792 282 1540 0
-1109 -760 3300 0
-595 -127 4145 0
-2856 -505 1124 0
-3229 -417 2931 0
-75 927 3415 0
-1242 1339 2773 0
-2875 -816 -535 0
-2829 -1478 2155 0
-1543 2456 3831 0
-1636 2134 4024 0
-515 2985 3124 0
-4240 230 1970 0
-4006 1612 3267 0
-3891 -1760 1603 0
-2520 -2048 1328 0
-4222 -780 1515 0
-3515 2609 3793 0
-2442 -1817 1899 0
-3410 -1911 2997 0
-487 -143 169 0
850 1156 4372 0
498 3785 4486 0
-2600 -2124 -1206 0
-4171 1499 3023 0
1722 3230 4153 0
369 791 834 0
-1912 -788 4110 0
287 3274 3904 0
-1207 3886 3956 0
-2041 -946 986 0
-42 1701 2629 0
230 1161 3981 0
-4043 1297 3711 0
-1547 -1183 1077 0
-3953 -2062 888 0
-969 -643 4066 0
-3945 1176 4017 0
-3296 232 4171 0
-1419 -1220 3769 0
-1654 507 1155 0
-870 3505 4317 0
-3522 -3481 1162 0
-2801 -1011 2647 0
-2827 -2454 957 0
-4391 -2487 337 0
-3479 976 3945 0
-3126 566 1352 0
480 2121 3620 0
-1907 2008 2522 0
-3129 -2029 1074 0
-4390 1019 3251 0
-3112 -1182 4006 0
-1458 -1208 -845 0
-4448 -840 -31 0
-4484 -2386 3415 0
-4279 -1737 4006 0
-3042 1454 2366 0
549 1000 1686 0
-4356 -3923 -472 0
-4302 -1045 -487 0
-1425 182 3005 0
-4286 -333 2512 0
-4216 -3626 -1124 0
-4445 -2438 3725 0
-4108 -3382 3927 0
-3824 -3332 1426 0
-4345 -2089 1653 0
-2525 1976 2733 0
-2546 122 1895 0
-603 429 2953 0
-1064 -1060 740 0
-3412 -3371 2904 0
-3246 -2813 1935 0
-2110 2485 3345 0
-3456 -2603 -557 0
-4035 -1196 1405 0
-3253 -110 3587 0
-536 3503 3599 0
-1962 1377 1632 0
-2864 3286 3495 0
-4124 765 4464 0
-2572 -1719 4126 0
-1741 -903 -465 0
-3319 1637 2265 0
-3586 -814 1929 0
-2863 1984 2880 0
-3292 -2650 -1027 0
-1774 1161 3730 0
-2993 -2497 -811 0
328 2194 3184 0
-3741 -1838 950 0
-4213 -1927 2578 0
-2641 2474 3223 0
-1018 900 2926 0
-488 892 3012 0
-3082 2238 2884 0
-1792 -1468 190 0
103 585 3153 0
-2413 611 3072 0
-4333 2017 2384 0
-294 1597 3420 0
-1245 -1229 74 0
-903 141 2485 0
-4261 -3980 -1440 0
-4301 -3352 2737 0
-1759 994 3717 0
-1749 -1208 2657 0
-3763 -2966 1481 0
29 1794 3885 0
-2876 2516 3198 0
-4257 -2073 958 0
-1745 590 3944 0
-1309 825 2783 0
472 3494 3497 0
-4339 -1339 3448 0
-2435 -793 2006 0
-3640 -2698 4461 0
-3810 -97 2045 0
-2760 254 2829 0
-1158 1786 3301 0
-253 107 2082 0
-2295 -1867 484 0
-313 733 1650 0
2424 2537 3741 0
467 1166 4140 0
-2209 -1541 -877 0
-3588 938 2756 0
-2402 -1625 -1563 0
-1117 906 2481 0
-3475 3630 4293 0
-3863 681 3547 0
-1444 -294 4038 0
-3844 -3321 1898 0
-4144 1046 4215 0
-270 1060 1342 0
-2431 -2214 212 0
-947 488 1520 0
-3054 -1473 2330 0
-187 1254 3626 0
399 1404 2728 0
-823 2814 3988 0
-4383 -4030 3987 0
-591 1901 3858 0
-4368 928 2560 0
643 736 2294 0
-4172 1938 4338 0
-1471 376 1698 0
-3664 -3465 2300 0
-3795 3069 3569 0
-3969 -2179 981 0
-2568 927 4117 0
-1491 285 1702 0
-3311 -2447 4408 0
-3959 1459 4477 0
-2757 3012 4429 0
-4303 727 2052 0
-4188 1264 3396 0
